"","Date","GPP_NT_gC_m2_day"
"156",2018-06-05,0.4734983535768
"157",2018-06-06,0.4613038235298
"158",2018-06-07,0.4767508605825
"159",2018-06-08,0.36764089264494
"160",2018-06-09,0.402116080240368
"161",2018-06-10,0.47020236563916
"162",2018-06-11,0.5031173850714
"163",2018-06-12,0.6094764620766
"164",2018-06-13,0.7067983200966
"165",2018-06-14,0.6643683947862
"166",2018-06-15,0.95874281027064
"167",2018-06-16,-0.531070998273
"168",2018-06-17,-0.1769678794008
"169",2018-06-18,0.44406280226304
"170",2018-06-19,0.6182707379778
"171",2018-06-20,0.397486317996
"172",2018-06-21,0.3276626597424
"173",2018-06-22,0.6327935590518
"174",2018-06-23,0.46229046818508
"175",2018-06-24,0.0915099387066
"176",2018-06-25,0.0520881148602
"177",2018-06-26,0.3170167243164
"178",2018-06-27,0.41465914333614
"179",2018-06-28,0.4975571014398
"180",2018-06-29,0.371525023998
"181",2018-06-30,0.516758898654
"182",2018-07-01,0.4609107607302
"183",2018-07-02,0.53576489040084
"184",2018-07-03,0.45014726056716
"185",2018-07-04,0.413963211708
"186",2018-07-05,0.448541001574128
"187",2018-07-06,0.55486172876616
"188",2018-07-07,0.50918304847014
"189",2018-07-08,0.48180665381148
"190",2018-07-09,0.15274744467894
"191",2018-07-10,0.3300127330662
"192",2018-07-11,0.4468050589662
"193",2018-07-12,0.7465247912844
"194",2018-07-13,0.43417023273522
"195",2018-07-14,0.03677242466808
"196",2018-07-15,0.0191746536534
"197",2018-07-16,0.5073735866328
"198",2018-07-17,0.4589623044486
"199",2018-07-18,0.576067254991416
"200",2018-07-19,0.6495280528518
"201",2018-07-20,0.8478206927298
"202",2018-07-21,0.9662686223508
"203",2018-07-22,1.014562529604
"204",2018-07-23,0.686460555351
"205",2018-07-24,-0.3206913541182
"206",2018-07-25,0.47511047117754
"207",2018-07-26,1.095886224522
"208",2018-07-27,0.90162495252
"209",2018-07-28,1.5720799038534
"210",2018-07-29,2.1381785907624
"211",2018-07-30,1.5662671111728
"212",2018-07-31,2.5918310971836
"213",2018-08-01,2.34009845647018
"214",2018-08-02,2.5956552457206
"215",2018-08-03,2.7239621118012
"216",2018-08-04,2.948217939414
"217",2018-08-05,2.7576634907394
"218",2018-08-06,2.8084663592928
"219",2018-08-07,3.10664199418254
"220",2018-08-08,2.8243452256236
"221",2018-08-09,3.2995211284341
"222",2018-08-10,2.47129996823262
"223",2018-08-11,2.82599593654266
"224",2018-08-12,2.6457077837592
"225",2018-08-13,2.592319357008
"226",2018-08-14,2.25814562491779
"227",2018-08-15,2.23092404097264
"228",2018-08-16,2.0391259437792
"229",2018-08-17,1.8328077565137
"230",2018-08-18,2.23525428894
"231",2018-08-19,2.48935000477743
"232",2018-08-20,2.6891403843366
"233",2018-08-21,2.4837990485562
"234",2018-08-22,2.0594674181736
"235",2018-08-23,1.7421271696782
"236",2018-08-24,2.2057792679142
"237",2018-08-25,2.33589663483646
"238",2018-08-26,2.3112276564042
"239",2018-08-27,2.2428671130378
"240",2018-08-28,2.3355851736744
"241",2018-08-29,2.3115510703314
"242",2018-08-30,2.0365034706846
"243",2018-08-31,1.6752297066102
"244",2018-09-01,0.893195512795799
"245",2018-09-02,2.535269563098
"246",2018-09-03,2.377900164726
"247",2018-09-04,2.75643882260838
"248",2018-09-05,2.5369545370338
"249",2018-09-06,2.467704892887
"250",2018-09-07,3.047429297106
"251",2018-09-08,3.123751743387
"252",2018-09-09,2.84211647646203
"253",2018-09-10,2.87353527831486
"254",2018-09-11,2.8835798556744
"255",2018-09-12,2.8328284012104
"256",2018-09-13,2.58006091615434
"257",2018-09-14,2.66423502630456
"258",2018-09-15,2.44091041501122
"259",2018-09-16,2.19535491915
"260",2018-09-17,2.1086654355846
"261",2018-09-18,2.1020998598271
"262",2018-09-19,2.4092531727579
