"","GPPU50","NEEU50","RecoU50","DateTime","YEAR"
"1",0.0446709069524454,1.60514807701111,1.64981898396355,2018-01-01 00:00:00,2018
"2",0.0429637453882787,1.6072324514389,1.65019619682718,2018-01-01 00:30:00,2018
"3",-0.00521110524325863,1.65661370754242,1.65140260229916,2018-01-01 01:00:00,2018
"4",-0.00412753722900239,1.65661370754242,1.65248617031342,2018-01-01 01:30:00,2018
"5",-0.13556268906328,1.78975427150726,1.65419158244398,2018-01-01 02:00:00,2018
"6",0.0227194318314752,1.63375377655029,1.65647320838177,2018-01-01 02:30:00,2018
"7",0.0053819239697932,1.65192687511444,1.65730879908423,2018-01-01 03:00:00,2018
"8",0.00564259798963351,1.65192687511444,1.65756947310407,2018-01-01 03:30:00,2018
"9",-0.0170654344566905,1.67599320411682,1.65892776966013,2018-01-01 04:00:00,2018
"10",-0.0179315535605633,1.67599320411682,1.65806165055626,2018-01-01 04:30:00,2018
"11",-0.0593278245542084,1.71762812137604,1.65830029682183,2018-01-01 05:00:00,2018
"12",-0.059270717630052,1.71762812137604,1.65835740374599,2018-01-01 05:30:00,2018
"13",-0.0631281895830504,1.72193741798401,1.65880922840096,2018-01-01 06:00:00,2018
"14",-0.254878848392623,1.91472697257996,1.65984812418733,2018-01-01 06:30:00,2018
"15",-0.233338647349822,1.89436531066895,1.66102666331912,2018-01-01 07:00:00,2018
"16",-0.276104154019231,1.938103556633,1.66199940261376,2018-01-01 07:30:00,2018
"17",-0.486365609200521,2.15031909942627,1.66395349022575,2018-01-01 08:00:00,2018
"18",-0.266835131040421,1.93222999572754,1.66539486468712,2018-01-01 08:30:00,2018
"19",-0.159758216766156,1.82699394226074,1.66723572549459,2018-01-01 09:00:00,2018
"20",-0.108237363037539,1.7768383026123,1.66860093957477,2018-01-01 09:30:00,2018
"21",-0.0817218289580068,1.75134229660034,1.66962046764233,2018-01-01 10:00:00,2018
"22",-0.0841777067226299,1.75467419624329,1.67049648952066,2018-01-01 10:30:00,2018
"23",-0.028122647582171,1.70001375675201,1.67189110916984,2018-01-01 11:00:00,2018
"24",0.0656293725270494,1.60716843605042,1.67279780857746,2018-01-01 11:30:00,2018
"25",0.122987014623614,1.54995131492615,1.67293832954976,2018-01-01 12:00:00,2018
"26",0.0168876528361945,1.6572995185852,1.6741871714214,2018-01-01 12:30:00,2018
"27",0.0888300037880698,1.58631765842438,1.67514766221245,2018-01-01 13:00:00,2018
"28",0.0703927857528652,1.60703265666962,1.67742544242248,2018-01-01 13:30:00,2018
"29",0.128634071272502,1.55242967605591,1.68106374732841,2018-01-01 14:00:00,2018
"30",0.0385169296009531,1.64477968215942,1.68329661176038,2018-01-01 14:30:00,2018
"31",-0.0514485236068276,1.73860371112823,1.68715518752141,2018-01-01 15:00:00,2018
"32",0.11641055951342,1.5734771490097,1.68988770852312,2018-01-01 15:30:00,2018
"33",0.0208178367950498,1.67177784442902,1.69259568122407,2018-01-01 16:00:00,2018
"34",0.065605018933055,1.62928879261017,1.69489381154322,2018-01-01 16:30:00,2018
"35",0.0632360731941926,1.63299036026001,1.6962264334542,2018-01-01 17:00:00,2018
"36",0.137186695258997,1.56078016757965,1.69796686283865,2018-01-01 17:30:00,2018
"37",0.124293819970404,1.57388269901276,1.69817651898316,2018-01-01 18:00:00,2018
"38",0.134805535299595,1.56431317329407,1.69911870859366,2018-01-01 18:30:00,2018
"39",0.10103002256756,1.59921705722809,1.70024707979565,2018-01-01 19:00:00,2018
"40",0.10198091426162,1.59921705722809,1.70119797148971,2018-01-01 19:30:00,2018
"41",0.0807322996087652,1.62021803855896,1.70095033816773,2018-01-01 20:00:00,2018
"42",0.066194480369504,1.63419592380524,1.70039040417474,2018-01-01 20:30:00,2018
"43",0.00211291107466738,1.69667434692383,1.6987872579985,2018-01-01 21:00:00,2018
"44",0.0291600512885415,1.66768610477448,1.69684615606302,2018-01-01 21:30:00,2018
"45",-0.0203900227489209,1.715008020401,1.69461799765208,2018-01-01 22:00:00,2018
"46",0.0629844782399407,1.62813723087311,1.69112170911305,2018-01-01 22:30:00,2018
"47",0.0323718619523943,1.65878450870514,1.69115637065753,2018-01-01 23:00:00,2018
"48",-0.0540113768354935,1.74565529823303,1.69164392139754,2018-01-01 23:30:00,2018
"49",-0.102528904573604,1.7968190908432,1.6942901862696,2018-01-02 00:00:00,2018
"50",-0.1033281826922,1.7968190908432,1.693490908151,2018-01-02 00:30:00,2018
"51",-0.0405393533263689,1.73179793357849,1.69125858025212,2018-01-02 01:00:00,2018
"52",-0.0138844127504365,1.7050929069519,1.69120849420147,2018-01-02 01:30:00,2018
"53",-0.0838067630110104,1.7729697227478,1.68916295973679,2018-01-02 02:00:00,2018
"54",-0.102489551326238,1.78975427150726,1.68726472018102,2018-01-02 02:30:00,2018
"55",-0.114820698803545,1.8018935918808,1.68707289307725,2018-01-02 03:00:00,2018
"56",0.0920927835727414,1.59326803684235,1.68536082041509,2018-01-02 03:30:00,2018
"57",-0.129949650828414,1.81492650508881,1.68497685426039,2018-01-02 04:00:00,2018
"58",-0.131514843324456,1.81492650508881,1.68341166176435,2018-01-02 04:30:00,2018
"59",-0.191487903487088,1.87102615833282,1.67953825484574,2018-01-02 05:00:00,2018
"60",-0.212358708776426,1.88792955875397,1.67557084997754,2018-01-02 05:30:00,2018
"61",-0.179084548529544,1.86087071895599,1.68178617042645,2018-01-02 06:00:00,2018
"62",-0.161403021568358,1.84408617019653,1.68268314862817,2018-01-02 06:30:00,2018
